document,cluster
ABSTRACT WORKER #1,2
ABSTRACT WORKER #2,2
Angelo,0
BING BONG,0
BOYFRIEND GENERATOR WORKER,2
CLOUD MAN,2
CLOUD WITNESS,2
DAD,0
DAD'S Angelo,2
DAD'S Felipe,2
DREAM DIRECTOR,2
DREAM PRODUCTIONS COP #1,2
DREAM STUDENT #1,2
DREAM STUDENT #2,2
Diane,0
EXTRA,2
FEMALE FORGETTER,2
Felipe,0
GIRL ALARM,2
GUM MEMORY,2
HELICOPTER PILOT,2
HOCKEY COACH,2
HOCKEY TEAMMATE,2
HOUSE OF CARDS WORKER,2
IMAGINARY BOYFRIEND,2
IMAGINARY BOYFRIENDS,2
JANGLES,2
Joyce,1
MALE FORGETTER,2
MEG,2
MIND WORKER COP #1,2
MIND WORKER COP #2,2
MOM,2
MOM'S Angelo,2
MOM'S Diane,2
MOM'S Felipe,2
MOM'S Joyce,2
MOM'S Sandra,2
MOUSE,2
PIZZA BEAR,2
PIZZA SLICE,2
RILEY,0
RILEY VOICE,2
SPORTS ANNOUNCER,2
SUBCONSCIOUS GUARD DAVE,2
SUBCONSCIOUS GUARD FRANK,2
Sandra,3
TEACHER,2
TRAIN ENGINEER,2
WORKER #1,2
WORKER FRITZ,2
YOUNG RILEY,2
