time,scene_number,scene_name,character,quote,location,description
250,1,Moving to San Francisco,Angelo,believe mom Dad move !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
251,1,Moving to San Francisco,Joyce,look get guy concern worse ! tell let make list thing Riley happy !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
252,1,Moving to San Francisco,Angelo,Fine let see house stink room stink,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
253,1,Moving to San Francisco,Diane,Pizza weird,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
254,1,Moving to San Francisco,Sandra,friend back home,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
255,1,Moving to San Francisco,Felipe,stuff miss van !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
256,1,Moving to San Francisco,Joyce,oh could worse,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
257,1,Moving to San Francisco,Diane,yeah Joyce could lie dirty floor bag,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
258,1,Moving to San Francisco,Joyce,okay admit rough start think good thing,HEADQUARTERS,Riley lie dirty floor sleep bag
259,1,Moving to San Francisco,Angelo,Joyce absolutely reason Riley happy right let handle,HEADQUARTERS,Riley lie dirty floor sleep bag
260,1,Moving to San Francisco,Felipe,say skip school tomorrow lock bedroom,HEADQUARTERS,Riley lie dirty floor sleep bag
261,1,Moving to San Francisco,Diane,clean clothes mean one see,HEADQUARTERS,Riley lie dirty floor sleep bag
262,1,Moving to San Francisco,Sandra,yeah could cry breathe,HEADQUARTERS,Riley lie dirty floor sleep bag
263,1,Moving to San Francisco,Angelo,lock door scream curse word know good one !,HEADQUARTERS,Riley lie dirty floor sleep bag
264,1,Moving to San Francisco,Joyce,hold ! look day know,HEADQUARTERS,Riley lie dirty floor sleep bag
265,1,Moving to San Francisco,MOM,hus honey,HEADQUARTERS,screen mom open Riley bedroom door
266,1,Moving to San Francisco,Angelo,mom Bad News Train pull ! toot toot !,HEADQUARTERS,screen mom open Riley bedroom door
267,1,Moving to San Francisco,MOM,still move van say Tuesday believe ?,SAN FRANCISCO HOUSE,mom sit next Riley
268,1,Moving to San Francisco,Angelo,toot toot toot !,HEADQUARTERS,mom sit next Riley
269,1,Moving to San Francisco,RILEY,Dad ?,SAN FRANCISCO HOUSE,mom sit next Riley
270,1,Moving to San Francisco,MOM,phone new venture keep pretty busy dad little stressed know get new company run,SAN FRANCISCO HOUSE,mom sit next Riley
271,1,Moving to San Francisco,Angelo,rest case !,HEADQUARTERS,mom sit next Riley
272,1,Moving to San Francisco,Angelo,well-placed withering scowl,HEADQUARTERS,Joyce sigh fall back control Angelo step console
273,1,Moving to San Francisco,MOM,guess really want say thank,SAN FRANCISCO HOUSE,Joyce sigh fall back control Angelo step console
274,1,Moving to San Francisco,Angelo,Huh ?,HEADQUARTERS,Joyce sigh fall back control Angelo step console
275,1,Moving to San Francisco,MOM,know confusion stay well stay happy girl !,SAN FRANCISCO HOUSE,Angelo drop control
276,1,Moving to San Francisco,MOM,dad lot pressure keep smile would big help right ?,SAN FRANCISCO HOUSE,mom brush Riley cheek
277,1,Moving to San Francisco,Joyce,whoa ! well,HEADQUARTERS,Joyce smile renew purpose step back console
278,1,Moving to San Francisco,RILEY,smile yeah ! sure,SAN FRANCISCO HOUSE,Joyce smile renew purpose step back console
279,1,Moving to San Francisco,MOM,deserve ? kiss Riley sweet dream,SAN FRANCISCO HOUSE,Joyce smile renew purpose step back console
280,1,Moving to San Francisco,RILEY,good night,SAN FRANCISCO HOUSE,Joyce smile renew purpose step back console
281,1,Moving to San Francisco,Angelo,well argue mom happy,HEADQUARTERS,Joyce smile renew purpose step back console
282,1,Moving to San Francisco,Felipe,Team happy ! sound great !,HEADQUARTERS,Joyce smile renew purpose step back console
283,1,Moving to San Francisco,Diane,totally behind Joyce,HEADQUARTERS,Joyce smile renew purpose step back console
284,1,Moving to San Francisco,Joyce,look like go REM get dream duty take care send Long Term great day today guy ! Sleep well TEAM happy !,HEADQUARTERS,screen go black
285,1,Moving to San Francisco,Joyce,Alright tonight dream production ?,HEADQUARTERS,team head bed Harp music play
286,1,Moving to San Francisco,DAD,well new place,HEADQUARTERS,screen DREAM come family fly happily air car land front house
287,1,Moving to San Francisco,MOUSE,come live Riley !,HEADQUARTERS,except haunt ! organ music ghost howl dead mouse rise frame
288,1,Moving to San Francisco,PIZZA BEAR,somebody order broccoli pizza ?,HEADQUARTERS,mouse fall dead bear enter hold pizza
289,1,Moving to San Francisco,PIZZA SLICE,eat ! organic !,HEADQUARTERS,pizza slice hop dance jig
290,1,Moving to San Francisco,Joyce,ah charge program ?! know suppose,HEADQUARTERS,Riley frown sleep
291,1,Moving to San Francisco,Joyce,go end day like,HEADQUARTERS,Riley still look troubled
292,1,Moving to San Francisco,Joyce,worry gon na make sure tomorrow another great day promise,HEADQUARTERS,Joyce thought recall memory screen Riley ice skate parent Joyce watch loving kid shadow Riley skate around headquarters
293,2,Riley's First Day,Joyce,hello ! wake ?,HEADQUARTERS,Joyce play accordion around headquarters appear look grumpy Joyce yell noise
294,2,Riley's First Day,Angelo,play ?,HEADQUARTERS,Joyce play accordion around headquarters appear look grumpy Joyce yell noise
295,2,Riley's First Day,Joyce,well practice think play much hugging,HEADQUARTERS,Joyce play accordion around headquarters appear look grumpy Joyce yell noise
296,2,Riley's First Day,Joyce,okay first day school ! exciting ! late last night figure new plan Felipe Felipe ! need list possible negative outcome first day new school,HEADQUARTERS,toss aside accordion run
297,2,Riley's First Day,Felipe,way ahead anyone know spell meteor ?,HEADQUARTERS,toss aside accordion run
298,2,Riley's First Day,Joyce,Diane ! make sure Riley stand today also blend,HEADQUARTERS,toss aside accordion run
299,2,Riley's First Day,Diane,Riley look good kid look outfit barf,HEADQUARTERS,toss aside accordion run
300,2,Riley's First Day,Joyce,address Joyce ! yes Joyce ? charge console keep Riley happy day long may add love dress adorable oh thing ? thank much love way twirl,HEADQUARTERS,toss aside accordion run
301,2,Riley's First Day,Joyce,train Thought ! right schedule,HEADQUARTERS,toot toot ! train rush outside
302,2,Riley's First Day,Joyce,Angelo ! unload daydream order extra case thing get slow class,HEADQUARTERS,engineer wave cab drop large bag
303,2,Riley's First Day,Angelo,Might come handy new school full boring useless class probably,HEADQUARTERS,engineer wave cab drop large bag
304,2,Riley's First Day,Joyce,oh Sandra ! super important job,HEADQUARTERS,Sandra walk Joyce stop
305,2,Riley's First Day,Sandra,really ?,HEADQUARTERS,Sandra walk Joyce stop
306,2,Riley's First Day,Joyce,mmm-hmmm follow,HEADQUARTERS,Sandra walk Joyce stop
307,2,Riley's First Day,Sandra,?,THE BACK OF THE ROOM,Joyce draw chalk circle floor around Sandra foot
308,2,Riley's First Day,Joyce,finish circle Perfect circle Sandra job make sure Sandra stay inside,THE BACK OF THE ROOM,Joyce draw chalk circle floor around Sandra foot
309,2,Riley's First Day,Sandra,want stand ?,THE BACK OF THE ROOM,Joyce draw chalk circle floor around Sandra foot
310,2,Riley's First Day,Joyce,hey place tell job make sure nudge Sandra foot back line Sandra stay circle,THE BACK OF THE ROOM,Joyce draw chalk circle floor around Sandra foot
311,2,Riley's First Day,Joyce,see ? pro ! fun ?!,THE BACK OF THE ROOM,Sandra stand
312,2,Riley's First Day,Sandra,,THE BACK OF THE ROOM,Sandra stand
313,2,Riley's First Day,Joyce,head console Atta girl alright everyone fresh start ! gon na good day turn good week turn good year turn good life !,THE BACK OF THE ROOM,Sandra stand
314,2,Riley's First Day,MOM,big day ! new school new friend huh ?,SAN FRANCISCO HOUSE,mom help Riley backpack Dad phone
315,2,Riley's First Day,RILEY,know ! kinda nervous mostly excite ! look ? like shirt ?,SAN FRANCISCO HOUSE,mom help Riley backpack Dad phone
316,2,Riley's First Day,MOM,cute ! gon na okay ? want walk ?,SAN FRANCISCO HOUSE,Joyce look back Family Island work away
317,2,Riley's First Day,Diane,mom Dad ? public ? thank,HEADQUARTERS,Joyce look back Family Island work away
318,2,Riley's First Day,Joyce,operating console,HEADQUARTERS,Joyce look back Family Island work away
319,2,Riley's First Day,RILEY,nope fine Bye mom ! Bye Dad !,SAN FRANCISCO HOUSE,Joyce look back Family Island work away
320,2,Riley's First Day,DAD,cover phone good day school monkey !,SAN FRANCISCO HOUSE,Joyce look back Family Island work away
321,2,Riley's First Day,MOM,great day sweetheart,SAN FRANCISCO HOUSE,Riley giggle exit
322,2,Riley's First Day,Felipe,sure want ?,EXT. SCHOOL - MORNING,Riley walk new school New kid everywhere hesitate
323,2,Riley's First Day,Joyce,go !,EXT. SCHOOL - MORNING,Riley walk new school New kid everywhere hesitate
324,2,Riley's First Day,Felipe,Okayyy ! go ! yes,EXT. SCHOOL - MORNING,Riley walk new school New kid everywhere hesitate
325,2,Riley's First Day,Diane,okay get group cool girl 2,CLASSROOM,Riley sit desk look kid class
326,2,Riley's First Day,Joyce,know ?,HEADQUARTERS,Riley sit desk look kid class
327,2,Riley's First Day,Diane,double ear pierce infinity scarf,HEADQUARTERS,Riley sit desk look kid class
328,2,Riley's First Day,Joyce,Whoa wear eye shadow ?,HEADQUARTERS,group makeup-wearing girl look back Riley
329,2,Riley's First Day,Diane,yeah want friend,HEADQUARTERS,group makeup-wearing girl look back Riley
330,2,Riley's First Day,Joyce,let go talk !,HEADQUARTERS,group makeup-wearing girl look back Riley
331,2,Riley's First Day,Diane,kid ?? talk want like,HEADQUARTERS,group makeup-wearing girl look back Riley
332,2,Riley's First Day,Joyce,oh ! wait ?,HEADQUARTERS,group makeup-wearing girl look back Riley
333,2,Riley's First Day,Felipe,drop giant stack paper console almost finish potential disaster worst scenario either quicksand spontaneous combustion get call teacher long none happen,HEADQUARTERS,group makeup-wearing girl look back Riley
334,2,Riley's First Day,TEACHER,okay everybody new student class today,CLASSROOM,group makeup-wearing girl look back Riley
335,2,Riley's First Day,Felipe,kid ?! gate ? happen !,HEADQUARTERS,group makeup-wearing girl look back Riley
336,2,Riley's First Day,TEACHER,Riley would like tell something ?,CLASSROOM,group makeup-wearing girl look back Riley
337,2,Riley's First Day,Felipe,nooooooo ! pretend speak English !,HEADQUARTERS,group makeup-wearing girl look back Riley
338,2,Riley's First Day,Joyce,worry get,HEADQUARTERS,group makeup-wearing girl look back Riley
339,2,Riley's First Day,RILEY,Uhh okay name Riley Andersen Minnesota live,CLASSROOM,Joyce push lever
340,2,Riley's First Day,TEACHER,Minnesota ? tell something ? well certainly get lot snow,CLASSROOM,Joyce push lever
341,2,Riley's First Day,Joyce,laugh hilarious !,HEADQUARTERS,Joyce push lever
342,2,Riley's First Day,RILEY,yeah get pretty cold lake freeze play hockey great team call Prairie Dogs friend Meg play forward Dad coach Pretty much everyone family skate,CLASSROOM,Riley smile spite eye
343,2,Riley's First Day,RILEY,kind family tradition go lake almost every weekend,CLASSROOM,Riley watch memory smile
344,2,Riley's First Day,RILEY,move away,CLASSROOM,Riley smile fade brow furrow
345,2,Riley's First Day,Felipe,Huh ? hey give ? ?,HEADQUARTERS,confused Joyce look around
346,2,Riley's First Day,Diane,Huh ? hey give ? ?,HEADQUARTERS,confused Joyce look around
347,2,Riley's First Day,Angelo,Huh ? hey give ? ?,HEADQUARTERS,confused Joyce look around
348,2,Riley's First Day,Joyce,hey,HEADQUARTERS,confused Joyce look around
349,2,Riley's First Day,Joyce,Sandra ! touch memory ?! talk,HEADQUARTERS,spot Sandra guiltily touch memory
350,2,Riley's First Day,Sandra,oh yeah know sorry,HEADQUARTERS,spot Sandra guiltily touch memory
351,2,Riley's First Day,Joyce,get back circle try eject memory gnnh ! go ? eject ?!!,HEADQUARTERS,spot Sandra guiltily touch memory
352,2,Riley's First Day,Felipe,get Joyce !,HEADQUARTERS,fiddle console blue memory move
353,2,Riley's First Day,RILEY,sniffle use play tag stuff,CLASSROOM,fiddle console blue memory move
354,2,Riley's First Day,Diane,cool kid whisper 3 !,HEADQUARTERS,fiddle console blue memory move
355,2,Riley's First Day,Felipe,see look ?!? judge !,HEADQUARTERS,kid whisper stare
356,2,Riley's First Day,Joyce,oh,HEADQUARTERS,kid whisper stare
357,2,Riley's First Day,Joyce,somebody help grab everybody,HEADQUARTERS,Joyce try pull memory Angelo Felipe Diane help
358,2,Riley's First Day,RILEY,everything different since move,CLASSROOM,pull might memory budge
359,2,Riley's First Day,Felipe,oh ! cry SCHOOL !!!,HEADQUARTERS,tear stream Riley face
360,2,Riley's First Day,Joyce,? ! Sandra ?,HEADQUARTERS,Joyce turn console Sandra DRIVING
361,2,Riley's First Day,Sandra,oh sorry oh,HEADQUARTERS,Joyce finally yank memory run console pull Sandra away control
362,2,Riley's First Day,Joyce,Huh ?,HEADQUARTERS,ping ! memory create bright blue
363,2,Riley's First Day,Angelo,whoa !,HEADQUARTERS,ping ! memory create bright blue
364,2,Riley's First Day,Felipe,core memory !,HEADQUARTERS,ping ! memory create bright blue
365,2,Riley's First Day,Diane,blue !,HEADQUARTERS,ping ! memory create bright blue
366,2,Riley's First Day,Joyce,wait stop ! ! ahh !,HEADQUARTERS,bright blue core memory roll memory shelf start towards core memory holder !
367,2,Riley's First Day,Sandra,try take memory back Joyce Joyce core memory Joyce !,HEADQUARTERS,Joyce leap holder pop open prevent new blue core memory go Joyce grab push memory flush button tube come ceiling
368,2,Riley's First Day,Joyce,hey ! stop let go,HEADQUARTERS,Joyce leap holder pop open prevent new blue core memory go Joyce grab push memory flush button tube come ceiling
369,2,Riley's First Day,Felipe,ahh !,HEADQUARTERS,struggle bump Core memory holder knock core memory onto floor
370,2,Riley's First Day,Diane,ahh !,HEADQUARTERS,struggle bump Core memory holder knock core memory onto floor
371,2,Riley's First Day,Angelo,ahh !,HEADQUARTERS,struggle bump Core memory holder knock core memory onto floor
372,2,Riley's First Day,Felipe,core memory !,HEADQUARTERS,struggle bump Core memory holder knock core memory onto floor
373,2,Riley's First Day,Joyce,ahh !,HEADQUARTERS,Riley face tear-stained look
374,2,Riley's First Day,Joyce,!,HEADQUARTERS,Joyce toss blue core memory aside collect yellow core memory Sandra grab blue core memory head Core memory holder plug Joyce lunge knock blue core memory Sandra hand suck vacuum tube Joyce trip backward chaos yellow core memory roll toward tube
375,2,Riley's First Day,TEACHER,thank Riley know tough move new place happy alright everyone get history book turn chapter seven,CLASSROOM,Riley sit wipe tear
376,2,Riley's First Day,Angelo,say curse word ?,HEADQUARTERS,Riley hide behind book
377,2,Riley's First Day,Joyce,oh gathering memory one two three okay get Wha ?,LONG-TERM MEMORY,Joyce land bin memory Sandra crash next
378,2,Riley's First Day,Joyce,Long-Term memory !,LONG-TERM MEMORY,Joyce take shelve around
379,2,Riley's First Day,Joyce,Goofball Island,LONG-TERM MEMORY,Joyce grab core memory jump dumpster see GOOFBALL ISLAND silent dark
380,2,Riley's First Day,Sandra,Hoh Riley Islands Personality ! bad,LONG-TERM MEMORY,Joyce survey island beyond dark
381,2,Riley's First Day,Joyce,fix get back headquarters plug core memory Riley back normal,LONG-TERM MEMORY,Joyce survey island beyond dark
382,2,Riley's First Day,Sandra,Riley core memory personality island gasp,LONG-TERM MEMORY,Joyce Sandra hurry towards headquarters
383,2,Riley's First Day,Joyce,Wha ?,LONG-TERM MEMORY,Joyce Sandra hurry towards headquarters
384,2,Riley's First Day,Sandra,! headquarters without Riley happy get ta get back,LONG-TERM MEMORY,Joyce Sandra hurry towards headquarters
385,2,Riley's First Day,Joyce,come Riley,LONG-TERM MEMORY,Joyce Sandra hurry towards headquarters
386,3,Dinner Argument,MOM,turn green trash recycle green like compost eggshell,SAN FRANCISCO HOUSE,Riley parent eat dinner
387,3,Dinner Argument,DAD,really listen Mmm,SAN FRANCISCO HOUSE,Riley parent eat dinner
388,3,Dinner Argument,MOM,blue one recycle black one trash,SAN FRANCISCO HOUSE,Riley parent eat dinner
389,3,Dinner Argument,Diane,Riley act weird act weird ?,HEADQUARTERS,Riley push food around plate
390,3,Dinner Argument,Angelo,expect ? island,HEADQUARTERS,Riley push food around plate
391,3,Dinner Argument,Diane,Joyce would know,HEADQUARTERS,Riley push food around plate
392,3,Dinner Argument,Felipe,! get back Joyce would !,HEADQUARTERS,Riley push food around plate
393,3,Dinner Argument,Diane,great idea ! Angelo Felipe Diane suppose happy ?,HEADQUARTERS,Riley push food around plate
394,3,Dinner Argument,MOM,hey Riley get good news !,HEADQUARTERS,Riley push food around plate
395,3,Dinner Argument,MOM,find junior hockey league right San Francisco get try-out tomorrow school luck right ?,SAN FRANCISCO HOUSE,Riley push food around plate
396,3,Dinner Argument,Angelo,hockey ?,HEADQUARTERS,Riley push food around plate
397,3,Dinner Argument,Diane,uh-oh ?,HEADQUARTERS,Riley push food around plate
398,3,Dinner Argument,Felipe,guy uh pretend Joyce,HEADQUARTERS,Riley push food around plate
399,3,Dinner Argument,MOM,great back ice ?,ON THE SCREEN:,Felipe push Diane forward step drive
400,3,Dinner Argument,RILEY,sarcastic oh yeah sound fantastic,SAN FRANCISCO HOUSE,Felipe push Diane forward step drive
401,3,Dinner Argument,Felipe,? anything like Joyce,HEADQUARTERS,Felipe push Diane forward step drive
402,3,Dinner Argument,Diane,uh NOT Joyce,HEADQUARTERS,Felipe push Diane forward step drive
403,3,Dinner Argument,Felipe,yeah kidding,HEADQUARTERS,Felipe push Diane forward step drive
404,3,Dinner Argument,MOM'S Sandra,guy pick ?,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
405,3,Dinner Argument,MOM'S Angelo,uh-huh,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
406,3,Dinner Argument,MOM'S Joyce,oh,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
407,3,Dinner Argument,MOM'S Felipe,oh,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
408,3,Dinner Argument,MOM'S Diane,oh,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
409,3,Dinner Argument,MOM'S Diane,something wrong,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
410,3,Dinner Argument,MOM'S Angelo,ask ?,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
411,3,Dinner Argument,MOM'S Sandra,let probe keep subtle notice,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
412,3,Dinner Argument,MOM,! first day school ?,SAN FRANCISCO HOUSE,mom take aback eye Riley zoom mom head
413,3,Dinner Argument,Angelo,probe,HEADQUARTERS,mom take aback eye Riley zoom mom head
414,3,Dinner Argument,Diane,Felipe pretend Joyce,HEADQUARTERS,mom take aback eye Riley zoom mom head
415,3,Dinner Argument,Felipe,? uh okay hmm,HEADQUARTERS,mom take aback eye Riley zoom mom head
416,3,Dinner Argument,RILEY,nervous fine guess know,SAN FRANCISCO HOUSE,mom take aback eye Riley zoom mom head
417,3,Dinner Argument,Diane,oh smooth like Joyce,HEADQUARTERS,mom take aback eye Riley zoom mom head
418,3,Dinner Argument,MOM'S Angelo,something definitely go,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
419,3,Dinner Argument,MOM'S Diane,never act like ?,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
420,3,Dinner Argument,MOM'S Sandra,go find happen need support signal husband,MOM'S HEADQUARTERS,mom take aback eye Riley zoom mom head
421,3,Dinner Argument,SPORTS ANNOUNCER,nice pass Reeves come across center ice,DAD'S HEADQUARTERS,Dad emotion watch hockey match cheer
422,3,Dinner Argument,DAD'S Angelo,uh-oh look turn memory say ?,DAD'S HEADQUARTERS,mom stare clear throat Dad look clueless
423,3,Dinner Argument,DAD'S Felipe,? uh sorry Sir one listen,DAD'S HEADQUARTERS,mom stare clear throat Dad look clueless
424,3,Dinner Argument,DAD'S Angelo,garbage night ? leave toilet seat ? ? woman ?!?,DAD'S HEADQUARTERS,mom stare clear throat Dad look clueless
425,3,Dinner Argument,MOM'S Diane,re Dad screen make stupid face,MOM'S HEADQUARTERS,mom stare clear throat Dad look clueless
426,3,Dinner Argument,MOM'S Angelo,could strangle right !,MOM'S HEADQUARTERS,mom stare clear throat Dad look clueless
427,3,Dinner Argument,MOM'S Sandra,signal,MOM'S HEADQUARTERS,mom stare clear throat Dad look clueless
428,3,Dinner Argument,DAD,ahh Riley ! school ?,SAN FRANCISCO HOUSE,mom raise eyebrow tilt head towards Riley Dad finally get
429,3,Dinner Argument,MOM'S Joyce,get ta kid ! really need start pay attention pay attention ?,MOM'S HEADQUARTERS,mom emotion give
430,3,Dinner Argument,MOM'S Sandra,get ta kid ! really need start pay attention pay attention ?,MOM'S HEADQUARTERS,mom emotion give
431,3,Dinner Argument,MOM'S Felipe,get ta kid ! really need start pay attention pay attention ?,MOM'S HEADQUARTERS,mom emotion give
432,3,Dinner Argument,MOM'S Diane,get ta kid ! really need start pay attention pay attention ?,MOM'S HEADQUARTERS,mom emotion give
433,3,Dinner Argument,MOM'S Angelo,give brazilian helicopter pilot ?,MOM'S HEADQUARTERS,mom emotion give
434,3,Dinner Argument,Angelo,move ! Joyce,HEADQUARTERS,mom emotion give
435,3,Dinner Argument,RILEY,snarky school great alright ?,SAN FRANCISCO HOUSE,mom emotion give
436,3,Dinner Argument,MOM,Riley everything okay ?,SAN FRANCISCO HOUSE,mom emotion give
437,3,Dinner Argument,DAD'S Felipe,Sir roll eye,DAD'S HEADQUARTERS,Riley roll eye
438,3,Dinner Argument,DAD'S Angelo,deal ? Alright make show force want put Foot,DAD'S HEADQUARTERS,Riley roll eye
439,3,Dinner Argument,DAD'S Felipe,Foot,DAD'S HEADQUARTERS,Riley roll eye
440,3,Dinner Argument,DAD,Riley like new attitude,SAN FRANCISCO HOUSE,Riley roll eye
441,3,Dinner Argument,Angelo,oh show attitude old man,HEADQUARTERS,Riley roll eye
442,3,Dinner Argument,Felipe,! Stay happy !,HEADQUARTERS,Riley roll eye
443,3,Dinner Argument,RILEY,problem ? leave alone,SAN FRANCISCO HOUSE,Angelo shove away hit button
444,3,Dinner Argument,DAD'S Felipe,Sir ! Reporting high level sass !,DAD'S HEADQUARTERS,Angelo shove away hit button
445,3,Dinner Argument,DAD'S Angelo,take DEFCON 2,DAD'S HEADQUARTERS,Angelo shove away hit button
446,3,Dinner Argument,DAD'S Felipe,hear gentleman defcon 2,DAD'S HEADQUARTERS,siren begin blare
447,3,Dinner Argument,DAD,listen young lady know disrespectful attitude come,SAN FRANCISCO HOUSE,siren begin blare
448,3,Dinner Argument,Angelo,want piece Pops ? come get !,HEADQUARTERS,siren begin blare
449,3,Dinner Argument,RILEY,yeah well well,SAN FRANCISCO HOUSE,Angelo grasp two lever might
450,3,Dinner Argument,DAD'S Angelo,come prepare Foot !,DAD'S HEADQUARTERS,Angelo grasp two lever might
451,3,Dinner Argument,DAD'S Felipe,Keys safety position ! ready launch command Sir !,DAD'S HEADQUARTERS,Dad emotion uncover launch Station button insert key
452,3,Dinner Argument,RILEY,shut !,SAN FRANCISCO HOUSE,Angelo flame yell full blast push lever
453,3,Dinner Argument,DAD'S Angelo,fire !,DAD'S HEADQUARTERS,Dad mom shock
454,3,Dinner Argument,DAD,go room ! !,SAN FRANCISCO HOUSE,Dad mom shock
455,3,Dinner Argument,DAD'S Felipe,Foot ! Foot !,DAD'S HEADQUARTERS,Riley push away table go upstairs huff
456,3,Dinner Argument,DAD'S Angelo,good job gentleman could disaster,DAD'S HEADQUARTERS,cheer
457,3,Dinner Argument,MOM'S Sandra,well disaster,MOM'S HEADQUARTERS,cheer
458,3,Dinner Argument,HELICOPTER PILOT,come fly gatinha,MOM'S HEADQUARTERS,mom Angelo recall memory brazilian helicopter pilot
459,4,Try to escape from Long-Term Memory,Sandra,gon na walk ? ?,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
460,4,Try to escape from Long-Term Memory,Joyce,quickest way back,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
461,4,Try to escape from Long-Term Memory,Sandra,right memory dump fall forget forever !,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
462,4,Try to escape from Long-Term Memory,Joyce,Riley follow footstep,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
463,4,Try to escape from Long-Term Memory,Sandra,Hohh ok,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
464,4,Try to escape from Long-Term Memory,Joyce,step onto lightline high totally fiii Whoa,MIND WORLD,distance Family Island rumble Joyce Sandra make across Goofball Island must walk across thin lightline Below darkness memory dump
465,4,Try to escape from Long-Term Memory,DAD,hey,SAN FRANCISCO HOUSE,Dad knock Riley door peek
466,4,Try to escape from Long-Term Memory,DAD,uh thing get little hand downstairs want talk ? still answer come happy girl ? monkey try monkey noise,SAN FRANCISCO HOUSE,Riley sleeping bag answer
467,4,Try to escape from Long-Term Memory,Angelo,try start Goofball,HEADQUARTERS,Riley sleeping bag answer
468,4,Try to escape from Long-Term Memory,DAD,come try monkey noise,SAN FRANCISCO HOUSE,Felipe look empty core memory holder window GOOFBALL ISLAND dark silent
469,4,Try to escape from Long-Term Memory,Joyce,ahhh ! go back ! run ! run ! run !,GOOFBALL ISLAND,Joyce see lightline break ahead
470,4,Try to escape from Long-Term Memory,Joyce,?,LONG-TERM MEMORY,leap across buckle bridge make cliff time see Goofball Island fall dump
471,4,Try to escape from Long-Term Memory,DAD,get need alone time talk later,SAN FRANCISCO HOUSE,Joyce watch sink flash cut Young Riley Riley twirl fall family jump trampoline Riley ride Dad shoulder make silly face ice cream face
472,4,Try to escape from Long-Term Memory,Diane,major problem,HEADQUARTERS,emotion stare back window disbelief
473,4,Try to escape from Long-Term Memory,Felipe,ohh Joyce ?,HEADQUARTERS,emotion stare back window disbelief
474,4,Try to escape from Long-Term Memory,Sandra,lose Goofball Island mean lose friendship hockey Honesty Family ! fix right Joyce ?,LONG-TERM MEMORY,Joyce Sandra stare abyss
475,4,Try to escape from Long-Term Memory,Joyce,know Sandra sigh despair try,LONG-TERM MEMORY,Joyce Sandra stare abyss
476,4,Try to escape from Long-Term Memory,Joyce,Riley go sleep sigh Sandra good thing think nothing else bad happen asleep ! back headquarters wake go across Friendship Island,LONG-TERM MEMORY,sky darken
477,4,Try to escape from Long-Term Memory,Sandra,never make hoh nooo,LONG-TERM MEMORY,shelf jut cliff edge make Friendship Island inaccessible
478,4,Try to escape from Long-Term Memory,Joyce,obsess weight life problem remember funny movie dog die ?!,LONG-TERM MEMORY,shelf jut cliff edge make Friendship Island inaccessible
479,4,Try to escape from Long-Term Memory,Joyce,Uhhh Sandra time,LONG-TERM MEMORY,Sandra face plant
480,4,Try to escape from Long-Term Memory,Joyce,go around ! take scenic route,LONG-TERM MEMORY,look side memory shelf wind distance Joyce head maze
481,4,Try to escape from Long-Term Memory,Sandra,wait ! Joyce could get lose !,LONG-TERM MEMORY,look side memory shelf wind distance Joyce head maze
482,4,Try to escape from Long-Term Memory,Joyce,think positive !,LONG-TERM MEMORY,look side memory shelf wind distance Joyce head maze
483,4,Try to escape from Long-Term Memory,Sandra,okay positive get lose Long-Term memory endless warren corridor shelf read manual,LONG-TERM MEMORY,look side memory shelf wind distance Joyce head maze
484,4,Try to escape from Long-Term Memory,Joyce,manual ? manual ! read manual !,LONG-TERM MEMORY,Joyce stop Sandra right wait !
485,4,Try to escape from Long-Term Memory,Sandra,yeah,LONG-TERM MEMORY,Joyce stop Sandra right wait !
486,4,Try to escape from Long-Term Memory,Joyce,know way back headquarters !,LONG-TERM MEMORY,Joyce stop Sandra right wait !
487,4,Try to escape from Long-Term Memory,Sandra,guess,LONG-TERM MEMORY,Joyce stop Sandra right wait !
