time,scene_number,scene_name,character,quote,location,description
58,0,Riley is Born,Felipe,brain freeze !,HEADQUARTERS,Riley Meg slurp frozen drink Riley grimace ice headache !
59,0,Riley is Born,Joyce,Yaaay !,HEADQUARTERS,kid hockey game Riley take shot score !
60,0,Riley is Born,DAD,good night kiddo !,MINNESOTA HOUSE,parent tuck Riley bed turn light
61,0,Riley is Born,RILEY,Dad,MINNESOTA HOUSE,parent tuck Riley bed turn light
62,0,Riley is Born,Joyce,talk another perfect day ! nice job everybody ! let get memory long term,HEADQUARTERS,Joyce watch screen go DARK inspect shelf mostly populate golden memory
63,0,Riley is Born,Felipe,right die today ! call unqualified success,HEADQUARTERS,Joyce pull lever Memories cascade shelf
64,0,Riley is Born,Joyce,! love girl get great friend great house thing could better Riley 11 could happen ?,HEADQUARTERS,memory pachinko shelf tube Joyce run back window watch glide distant tube towards Long-Term memory like fall star
65,1,Moving to San Francisco,Joyce,Wha ?,HEADQUARTERS,move sign sold !
66,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
67,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
68,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
69,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,move sign sold !
70,1,Moving to San Francisco,Joyce,Huh ?,HEADQUARTERS,slam ! packed car hatchback close
71,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
72,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
73,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
74,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,slam ! packed car hatchback close
75,1,Moving to San Francisco,Joyce,ok mind,HEADQUARTERS,VROOM ! move van drive away
76,1,Moving to San Francisco,Sandra,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
77,1,Moving to San Francisco,Felipe,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
78,1,Moving to San Francisco,Angelo,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
79,1,Moving to San Francisco,Diane,AIIIIIGHH !!!,HEADQUARTERS,VROOM ! move van drive away
80,1,Moving to San Francisco,Joyce,hey look ! Golden Gate Bridge ! great ?! make solid gold like think kind disappointment still !,TITLE CARD: INSIDE OUT,car drive across bridge Riley look window
81,1,Moving to San Francisco,Felipe,sure glad tell earthquake myth Joyce otherwise would terrify right !,HEADQUARTERS,car drive past ferry building
82,1,Moving to San Francisco,Joyce,uh yeah,HEADQUARTERS,everyone eye behind Felipe back
83,1,Moving to San Francisco,Angelo,kind people !,HEADQUARTERS,car stick traffic car HONK people yell
84,1,Moving to San Francisco,DAD,right block almost new house !,EXT. MARKET STREET - DAY,car stick traffic car HONK people yell
85,1,Moving to San Francisco,Angelo,step Daddy !,HEADQUARTERS,car stick traffic car HONK people yell
86,1,Moving to San Francisco,Diane,live smelly car ? already forever,HEADQUARTERS,car stick traffic car HONK people yell
87,1,Moving to San Francisco,Joyce,actually really lucky give plenty time think new house go look like ! let review top five daydream,HEADQUARTERS,car stick traffic car HONK people yell
88,1,Moving to San Francisco,Felipe,Ooh ! look safe !,HEADQUARTERS,Joyce plug daydream show fantasy house tree house water-slide house
89,1,Moving to San Francisco,Joyce,ohh great Riley ! oh one,HEADQUARTERS,Joyce plug daydream show fantasy house tree house water-slide house
90,1,Moving to San Francisco,Diane,Ugh Joyce last time live cookie,HEADQUARTERS,gingerbread house
91,1,Moving to San Francisco,Angelo,one ! come dragon !,HEADQUARTERS,castle
92,1,Moving to San Francisco,Joyce,get close feel new house,SAN FRANCISCO HOUSE,castle
93,1,Moving to San Francisco,Joyce,maybe nice inside,HEADQUARTERS,everyone look slackjaw
94,1,Moving to San Francisco,Angelo,suppose live ?,SAN FRANCISCO HOUSE,Riley step inside room dark dusty uninviting
95,1,Moving to San Francisco,Sandra,?,SAN FRANCISCO HOUSE,Riley step inside room dark dusty uninviting
96,1,Moving to San Francisco,Diane,tell smell like something die,SAN FRANCISCO HOUSE,Riley step inside room dark dusty uninviting
97,1,Moving to San Francisco,Felipe,die move ?,HEADQUARTERS,disgust memory roll
98,1,Moving to San Francisco,Joyce,guy overreact nobody die,HEADQUARTERS,disgust memory roll
99,1,Moving to San Francisco,Diane,dead mouse !!!,HEADQUARTERS,disgust memory roll
100,1,Moving to San Francisco,Diane,gon na sick,HEADQUARTERS,screen dead mouse corner
101,1,Moving to San Francisco,Angelo,Great great,HEADQUARTERS,screen dead mouse corner
102,1,Moving to San Francisco,Felipe,Ahhhhh !! house dead ! gon na ?! gon na get rabies !!!,HEADQUARTERS,screen dead mouse corner
103,1,Moving to San Francisco,Angelo,get OFFA ME !!!,HEADQUARTERS,Felipe jump Angelo arm Angelo fire flame
104,1,Moving to San Francisco,Joyce,hey hey hey drive Dad talk cool new room let go check !,HEADQUARTERS,Felipe run around fire Joyce put fire extinguisher
105,1,Moving to San Francisco,Felipe,right ! right ! yes yes yes !,HEADQUARTERS,Felipe run around fire Joyce put fire extinguisher
106,1,Moving to San Francisco,Angelo,right ! right ! yes yes yes !,HEADQUARTERS,Felipe run around fire Joyce put fire extinguisher
107,1,Moving to San Francisco,Diane,right ! right ! yes yes yes !,HEADQUARTERS,Felipe run around fire Joyce put fire extinguisher
108,1,Moving to San Francisco,Felipe,start envy dead mouse get rubber ball solitary confinement,SAN FRANCISCO HOUSE,tiny depressing
109,1,Moving to San Francisco,Diane,start envy dead mouse get rubber ball solitary confinement,SAN FRANCISCO HOUSE,tiny depressing
110,1,Moving to San Francisco,Angelo,start envy dead mouse get rubber ball solitary confinement,SAN FRANCISCO HOUSE,tiny depressing
111,1,Moving to San Francisco,Sandra,oh Riley live,HEADQUARTERS,tiny depressing
112,1,Moving to San Francisco,Angelo,right,HEADQUARTERS,tiny depressing
113,1,Moving to San Francisco,Felipe,really bad,HEADQUARTERS,tiny depressing
114,1,Moving to San Francisco,Diane,worst absolutely worst,HEADQUARTERS,tiny depressing
115,1,Moving to San Francisco,Angelo,house stink,HEADQUARTERS,tiny depressing
116,1,Moving to San Francisco,Joyce,hey nothing butterfly curtain could fix read somewhere empty room opportunity,HEADQUARTERS,Memories roll anger disgust fear
117,1,Moving to San Francisco,Angelo,read ?,HEADQUARTERS,Memories roll anger disgust fear
118,1,Moving to San Francisco,Joyce,matter read great put bed desk,HEADQUARTERS,Memories roll anger disgust fear
119,1,Moving to San Francisco,Felipe,hockey lamp go,HEADQUARTERS,Joyce project imagination Riley furniture
120,1,Moving to San Francisco,Angelo,put chair,HEADQUARTERS,Joyce project imagination Riley furniture
121,1,Moving to San Francisco,Diane,well trophy collection go,HEADQUARTERS,Joyce project imagination Riley furniture
122,1,Moving to San Francisco,Sandra,poster,HEADQUARTERS,Joyce project imagination Riley furniture
123,1,Moving to San Francisco,Felipe,Stars ! like,HEADQUARTERS,Joyce project imagination Riley furniture
124,1,Moving to San Francisco,Joyce,talk ! let go get stuff move van !,HEADQUARTERS,Joyce project imagination Riley furniture
125,1,Moving to San Francisco,DAD,Alright Goodbye hang mom well guess ? move van Thursday,SAN FRANCISCO HOUSE,Riley dash stair mom Dad enter house Dad phone
126,1,Moving to San Francisco,MOM,kid,SAN FRANCISCO HOUSE,Riley dash stair mom Dad enter house Dad phone
127,1,Moving to San Francisco,Felipe,van lose ?! worst day ever !,HEADQUARTERS,Riley dash stair mom Dad enter house Dad phone
128,1,Moving to San Francisco,MOM,say would yesterday !,HEADQUARTERS,screen mom Dad ARGUE
129,1,Moving to San Francisco,DAD,know say tell !,HEADQUARTERS,screen mom Dad ARGUE
130,1,Moving to San Francisco,Felipe,mom Dad stress !,HEADQUARTERS,screen mom Dad ARGUE
131,1,Moving to San Francisco,Felipe,argue ! go ? stressful problem ?,HEADQUARTERS,screen mom Dad ARGUE
132,1,Moving to San Francisco,Angelo,argue ! go ? stressful problem ?,HEADQUARTERS,screen mom Dad ARGUE
133,1,Moving to San Francisco,Diane,argue ! go ? stressful problem ?,HEADQUARTERS,screen mom Dad ARGUE
134,1,Moving to San Francisco,Sandra,argue ! go ? stressful problem ?,HEADQUARTERS,screen mom Dad ARGUE
135,1,Moving to San Francisco,Joyce,get great idea !,HEADQUARTERS,Joyce run storage grab look lightbulb
136,1,Moving to San Francisco,MOM,even read contract ?,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
137,1,Moving to San Francisco,DAD,Honey act like fault,SAN FRANCISCO HOUSE,Riley face light Riley grab hockey stick put wad paper play
